
VOLTA 1
Ciclista   0: metro  55, raia  1
Ciclista   1: metro  56, raia  3
Ciclista   2: metro  59, raia  4
Ciclista   3: metro  59, raia  5
Ciclista   4: metro  61, raia  7
Ciclista   5: metro  57, raia  1
Ciclista   6: metro  57, raia  2
Ciclista   7: metro  58, raia  6
Ciclista   8: metro  61, raia  6
Ciclista   9: metro  62, raia  5
Ciclista  10: metro  55, raia  0
Ciclista  11: metro  57, raia  0
Ciclista  12: metro  61, raia  3
Ciclista  13: metro  57, raia  4
Ciclista  14: metro  63, raia  8
Ciclista  15: metro  59, raia  2
Ciclista  16: metro  59, raia  3
Ciclista  17: metro  61, raia  4
Ciclista  18: metro  63, raia  4
Ciclista  19: metro  64, raia  9
Ciclista  20: metro  61, raia  0
Ciclista  21: metro  59, raia  0
Ciclista  22: metro  61, raia  2
Ciclista  23: metro  63, raia  3
Ciclista  24: metro  65, raia  8
Ciclista  25: metro  61, raia  1
Ciclista  26: metro  60, raia  1
Ciclista  27: metro  63, raia  1
Ciclista  28: metro  65, raia  7
Ciclista  29: metro  66, raia  9
Ciclista  30: metro  63, raia  0
Ciclista  31: metro  65, raia  5
Ciclista  32: metro  63, raia  2
Ciclista  33: metro  66, raia  6
Ciclista  34: metro  64, raia  8
Ciclista  35: metro  65, raia  1
Ciclista  36: metro  65, raia  4
Ciclista  37: metro  66, raia  3
Ciclista  38: metro  67, raia  8
Ciclista  39: metro  68, raia  9
Ciclista  40: metro  65, raia  2
Ciclista  41: metro  66, raia  0
Ciclista  42: metro  67, raia  5
Ciclista  43: metro  68, raia  7
Ciclista  44: metro  69, raia  8
Ciclista  45: metro  67, raia  2
Ciclista  46: metro  68, raia  3
Ciclista  47: metro  68, raia  4
Ciclista  48: metro  69, raia  6
Ciclista  49: metro  70, raia  9
Ciclista  50: metro  67, raia  1
Ciclista  51: metro  69, raia  2
Ciclista  52: metro  70, raia  4
Ciclista  53: metro  70, raia  5
Ciclista  54: metro  71, raia  8
Ciclista  55: metro  69, raia  1
Ciclista  56: metro  69, raia  0
Ciclista  57: metro  70, raia  3
Ciclista  58: metro  71, raia  5
Ciclista  59: metro  72, raia  7
Ciclista  60: metro  71, raia  0
Ciclista  61: metro  71, raia  2
Ciclista  62: metro  71, raia  1
Ciclista  63: metro  72, raia  4
Ciclista  64: metro  73, raia  6
Ciclista  65: metro  73, raia  0
Ciclista  66: metro  73, raia  1
Ciclista  67: metro  73, raia  2
Ciclista  68: metro  73, raia  3
Ciclista  69: metro  74, raia  5
Ciclista  70: metro   0, raia  0
Ciclista  71: metro   0, raia  1
Ciclista  72: metro   0, raia  2
Ciclista  73: metro   0, raia  3
Ciclista  74: metro   0, raia  4

VOLTA 2
Ciclista   0: metro  35, raia  5
Ciclista   1: metro  21, raia  3
Ciclista   2: metro  22, raia  4
Ciclista   3: metro  22, raia  5
Ciclista   4: metro  47, raia  8
Ciclista   5: metro  20, raia  1
Ciclista   6: metro  39, raia  5
Ciclista   7: metro  41, raia  7
Ciclista   8: metro  24, raia  6
Ciclista   9: metro  25, raia  5
Ciclista  10: metro  18, raia  0
Ciclista  11: metro  20, raia  0
Ciclista  12: metro  46, raia  5
Ciclista  13: metro  20, raia  4
Ciclista  14: metro  26, raia  9
Ciclista  15: metro  22, raia  2
Ciclista  16: metro  22, raia  3
Ciclista  17: metro  47, raia  7
Ciclista  18: metro  51, raia  5
Ciclista  19: metro  27, raia  8
Ciclista  20: metro  24, raia  0
Ciclista  21: metro  22, raia  0
Ciclista  22: metro  47, raia  5
Ciclista  23: metro  50, raia  5
Ciclista  24: metro  28, raia  8
Ciclista  25: metro  24, raia  1
Ciclista  26: metro  45, raia  5
Ciclista  27: metro  26, raia  1
Ciclista  28: metro  55, raia  7
Ciclista  29: metro  57, raia  9
Ciclista  30: metro  26, raia  0
Ciclista  31: metro  55, raia  5
Ciclista  32: metro  50, raia  2
Ciclista  33: metro  57, raia  7
Ciclista  34: metro  52, raia  7
Ciclista  35: metro  28, raia  1
Ciclista  36: metro  28, raia  4
Ciclista  37: metro  57, raia  5
Ciclista  38: metro  30, raia  8
Ciclista  39: metro  61, raia  9
Ciclista  40: metro  54, raia  5
Ciclista  41: metro  57, raia  0
Ciclista  42: metro  59, raia  5
Ciclista  43: metro  31, raia  7
Ciclista  44: metro  32, raia  7
Ciclista  45: metro  30, raia  2
Ciclista  46: metro  61, raia  2
Ciclista  47: metro  61, raia  5
Ciclista  48: metro  63, raia  7
Ciclista  49: metro  33, raia  9
Ciclista  50: metro  30, raia  1
Ciclista  51: metro  32, raia  1
Ciclista  52: metro  65, raia  2
Ciclista  53: metro  65, raia  5
